Date,Open,High,Low,Close,Change,Volume
2008-02-22,10634.22,10635.42,10546.38,10607.29,0.0,313082688
2008-02-25,10625.66,10709.06,10579.49,10588.84,-18.45,273149184
2008-02-26,10596.4,10668.35,10578.01,10668.35,79.51,265668784
2008-02-27,10670.68,10732.92,10623.36,10664.36,-3.99,396419776
2008-02-28,10688.98,10724.21,10655.23,10704.15,39.79,325539584
2008-02-29,10726.05,10750.6,10618.88,10635.69,-68.46,335109824
2008-03-03,10658.04,10663.51,10501.1,10554.05,-81.64,196083664
2008-03-04,10585.64,10606.35,10420.64,10487.61,-66.44,217864448
2008-03-05,10521.65,10653.56,10521.65,10643.06,155.45,267425136
2008-03-06,10718.81,10792.53,10718.81,10769.39,126.33,321543552
2008-03-07,10777.36,10799.27,10690.48,10741.91,-27.48,291107200
2008-03-10,10790.34,10792.4,10595.15,10616.98,-124.93,185722736
2008-03-11,10580.66,10637.53,10547.34,10630.41,13.43,190572512
2008-03-12,10676.96,10775.67,10676.96,10775.67,145.26,308547264
2008-03-13,10808.96,10813.25,10660.86,10717.56,-58.11,311909152
2008-03-14,10735.88,10774.19,10686.88,10714.35,-3.21,218249920
2008-03-17,10733.8,10739.56,10652.05,10667.57,-46.78,155068784
2008-03-18,10671.19,10671.19,10295.01,10434.07,-233.5,240608544
2008-03-19,10493.72,10613.61,10449.51,10597.21,163.14,250453600
2008-03-24,10756.98,10789.81,10699.39,10767.45,170.24,260023552
2008-03-25,10797.07,10845.14,10713.27,10730.16,-37.29,215919328
2008-03-26,10803.91,10826.47,10743.93,10798.31,68.15,219459104
2008-03-27,10825.16,10887.52,10825.16,10849.5,51.19,243185744
2008-03-28,10852.93,10873.52,10809.75,10842.62,-6.88,226858400
2008-03-31,10863.4,10863.4,10641.71,10750.69,-91.93,202617936
2008-04-01,10744.62,10823.63,10704.27,10809.26,58.57,218399824
2008-04-02,10846.87,10900.75,10843.47,10899.99,90.73,248943200
2008-04-03,10942.66,10949.64,10888.98,10916.34,16.35,353330752
2008-04-04,10962.78,11037.94,10939.03,11002.44,86.1,406958592
2008-04-07,11035.08,11084.47,10993.17,11004.59,2.15,254486896
2008-04-08,10993.14,11021.95,10938.3,11007.65,3.06,348910528
2008-04-09,11002.25,11090.29,10928.13,10954.22,-53.43,315423712
2008-04-10,10956.04,10979.51,10789.66,10883.73,-70.49,304666304
2008-04-11,10904.66,11016.33,10904.66,10969.01,85.28,245111680
2008-04-14,10936.68,11005.6,10932.05,10970.53,1.52,225624992
2008-04-15,10991.74,11053.1,10991.74,11038.81,68.28,221916176
2008-04-16,11041.48,11105.12,10985.25,11040.45,1.64,267919040
2008-04-17,11056.2,11128.21,11056.2,11101.78,61.33,289701600
2008-04-18,11129.67,11155.83,11077.69,11148.68,46.9,284779424
2008-04-21,11190.82,11192.3,11127.07,11141.92,-6.76,225340784
2008-04-22,11152.76,11158.28,11028.74,11072.14,-69.78,258093888
2008-04-23,11094.01,11140.75,10912.89,11013.92,-58.22,276415328
2008-04-24,11033.17,11049.52,10883.54,10899.73,-114.19,237667168
2008-04-25,10904.64,10992.16,10843.79,10986.22,86.49,259867744
2008-04-28,11001.52,11091.33,11001.52,11020.18,33.96,266407648
2008-04-29,11045.55,11068.0,10888.9,10913.71,-106.47,224511808
2008-04-30,10909.31,10909.31,10745.58,10777.4,-136.31,219379808
2008-05-02,10819.35,10829.72,10630.28,10663.33,-114.07,201015808
2008-05-05,10689.29,10694.58,10358.33,10456.99,-206.34,180424784
2008-05-06,10406.97,10484.47,10207.72,10273.41,-183.58,197920960
2008-05-07,10268.31,10337.35,10136.7,10308.03,34.62,185316016
2008-05-08,10307.38,10463.46,10219.8,10265.77,-42.26,198567808
2008-05-09,10243.8,10303.42,10028.03,10155.83,-109.94,180557840
2008-05-12,10065.93,10213.23,10014.18,10193.76,37.93,145999600
2008-05-13,10223.77,10383.98,10204.46,10377.84,184.08,87481504
2008-05-14,10380.99,10452.19,10351.4,10413.31,35.47,232014576
2008-05-15,10417.38,10437.58,10337.67,10343.09,-70.22,167618848
2008-05-16,10297.0,10298.25,10137.26,10175.28,-167.81,169146320
2008-05-19,10163.58,10191.69,9914.78,9956.95,-218.33,124790520
2008-05-20,9932.64,9997.82,9769.04,9936.24,-20.71,167593248
2008-05-21,9969.64,10012.57,9844.97,9993.68,57.44,175765920
2008-05-22,10001.62,10021.09,9707.27,9751.21,-242.47,191475936
2008-05-23,9526.2,9526.2,9284.69,9316.96,-434.25,154745120
2008-05-26,9239.99,9239.99,8907.58,9019.3,-297.66,143823984
2008-05-27,8987.83,9180.23,8848.21,9180.23,160.93,263767104
2008-05-28,9208.22,9248.94,8764.99,8785.41,-394.82,187807424
2008-05-29,8511.62,8788.07,8396.78,8758.19,-27.22,192201024
2008-05-30,8725.38,8879.04,8540.59,8699.61,-58.58,226041824
2008-06-02,8671.52,8828.83,8671.52,8804.22,104.61,133318256
